Datei,Herkunft,Datierung,Übersetzung,Epoche
"Quellenstellen zur Kultpraxis_Petese 2, D1 - Vergewaltigung der Hatmehit",Tebtynis,75-125 n. Chr.,while his wife ie Hatmehit poured drink for lit to the hands of the men It happened one day that the Prophet of Horus-of-Pe my brother here with me The Prophet of Horus-of-Pe let Psemmut be brought be the servant of the Prophet of Horus-of-Pe to take hold of a falcon He said to him My son Psemmut x until it ie the falcon arrives here ie comes back It came to pass that Hatmehit saw Psemmut she opposite him herself The Prophet of Horus-of-Pe looked at her He said to her Woe,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Erzählung P. Wien inv. D 62 vo,unbestimmt,200-250 n. Chr.,Eines Tages als er gesucht hatte zu der Halle erblickte er einen jungen Pastophoren der in die Halle heraufkam indem sein Herz raste Pharao sprach zu ihm Bin ich heil bin ich heil du junger Pastophor bin ich heil Er sprach zu ihm Ist der des Heils in ihm - Phamenoth der heutige Tag Nicht hat der die Brust Pharaos,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D10-D24",Tebtynis,75-125 n. Chr.,feast She said It is the story of the of woman The baboon said,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Erzählung P. Heidelberg inv. dem. 736 ro,unbestimmt,Hellenistische Zeit,Hennu Sohn des Horos der Zauberer wir wo wir auch wollen oä die beiden Vögel des Himmels um zu suchen wiederum Die beiden Vögel des Himmels flogen nach Sie flogen fort nach Qebeh ihrer Heimat die Worte der beiden Vögel des Himmels zum Pharao Lotos um zu alle Leute die es tun werden zu Hennu Sohn des Horos dem Zauberer folgendermaßen bzw mit den Worten Man bringe die beiden Vögel des Himmels Er sandte vor Pharao Folgendermaßen Man hat sie in Qebeh ihrer Heimat eingefangen Pharao sandte um Hennu Sohn des Horos den Zauberer in die Gefängnisse der Stadt Sais zu bringen oä Man tat alles wie er der Pharao es befohlen hatte Qebeh ihre der beiden Vögel Heimat Sie kamen zu den Gefängnissen der Stadt Sais Sie kehrten zurück in die Zelle der Gefängnisse,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D2 - Ehebruch, Harem, Offenbarung",Tebtynis,75-125 n. Chr.,By Neith the Great Goddess After his she performed divine consultation in this night Came dawn of the morrow let a man sleep with you fem ever again,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D25-D51",Tebtynis,75-125 n. Chr.,,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Erzählung mit Padipep, P. BM 69531 a-b und BM 69532, BM 69531a",unbestimmt,Hellenistische Zeit,Siehe es ist zu mir gelangt Lebensodem geben nachdem der Tod ihn vernichtet hat,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Erzählung mit Padipep, P. BM 69531 a-b und BM 69532, BM 69531a",unbestimmt,Hellenistische Zeit,Siehe es ist zu mir gelangt Lebensodem geben nachdem der Tod ihn vernichtet hat,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D2-D6 - Der habgierige Händler",Tebtynis,75-125 n. Chr.,beginning of story The baboon said My sister There was a of Re whose name was NN Beginn der Geschichte,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D7 - Geschichte über Prophet und seine Kinder",Tebtynis,75-125 n. Chr.,Atum them live or they lived praised in the heart or praised of heart They acted according to everything which the god had commanded concerning the children of the Prophet good offor the Prophet of Mendes Good was The baboon said O sister Sakhminofret,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, D7-D8 - Lebendig begraben",Tebtynis,75-125 n. Chr.,After this misfortune befell the They stood opposite him -- wife into a coffin He shut its lid He gave it to the Overseer of the Necropolis her father The Overseer of the Necropolis carried it He went up there The woman awoke with astart She found herself in the coffin her and they were in great distress thinking that she was a goddess while she had very evil thoughts and she said The wrath of not coffin A person is always made to rest open the box,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Erzählung mit König Necho Merneith,Tebtynis Temple Library,100-150 n. Chr.,shadow in the end while they struck them in the night you saw in a dream the procession of the Lady of the Lands the abomination Isis or -ese Isis or -ese agree Isis or -ese agree not We purified ourselves,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_P. Tebt. Tait 9,Tebtynis,101-200 n. Chr,Ruhestätte Wehe du Feind,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_Petese 2, C10-C74",Tebtynis,75-125 n. Chr.,priest gave order The baboon said O sister Sakhminofret This was the story of Re There was a title of Re whose name was NN,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 3, fr. 1+2",Saqqara,Hellenistische Zeit,gekommen der Herr des Ostens der Herr des Ostens der Herr des bOstensb im Austausch bdafürb Petosiris mein bVaterb indem Samaus Gut war der Prophet oder auch gut ging es dem Propheten in den Tempel in der Stunde,Griechisch-römische Zeit
"Quellenstellen zur Kultpraxis_P. Saqqara dem. 1, 3, fr. 3",Saqqara,Hellenistische Zeit,die Wartehäuser der Herr des bOstensb Er ging in den Tempel kam heraus aus dem Tempel näherte sich dem Samaus Er feierte mit,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Lehre des P. Louvre 2414,Memphis,Hellenistische Zeit,Wer eine Sache vor Gott verspricht sie aber dann nicht gibt der wird sie ihm zu seiner eigenen Schande geben müssen Das der Stadt ist ihr Ein Mann der in den Tod segelt ist derjenige der zu einer verheirateten Frau geht Wer ein sterbendes Haus beschimpft der verschafft sich Schande wörtl er erschafft seinen Gestank Verfluche nicht deinen Herrn vor dem Gott Verfluche nicht wen du nicht kennst Sage nicht Ich kann den Fluß bezaubern und du läßt ihn dann doch ruhig Baue dein Haus nicht auf deinem Grab wörtl deinem Haus der Ewigkeit Baue nicht dein Haus in der Nähe eines Heiligtums Verbittere nicht das Herz deines Priesterkollegen in einer Angelegenheit,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Lehre des P. Louvre 2380 vo,unbestimmt,101-200 v. Chr.,ein großer Gott undoder ein kleiner Gott ihmihn Ihr wem ein Omen verkünden ist es was geschehen wird bzw ebentuell was sie tun wird und der Gott deiner Stadt sind es die dich retten Der mit feindlicher Gesinnung ist ein Tor Was jegliche Lehre betrifft gib den Gott,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Lehre des P. Louvre 2377 vo,Memphis,101-200 v. Chr.,Die Lebenszeit dessen der es tut pflegt reduziert zu werden Wer sagen wird Ich werde keine Krankheit erleiden können der möge zu Re beten Wer sagen wird Ich werde die Arbeit nicht tun können der möge zu Re beten,Griechisch-römische Zeit
Quellenstellen zur Kultpraxis_Lehre des P. Ashmoleon inv. 1984.77 Vo,Theben,Hellenistische Zeit,Diene dem Gott Diene dem Gott Weise nicht den großen Weg dh die große Lehre dessen zurück der lebt Folge dem Gott Folge dem Gott Herz Jede Hand ist zum Gott ausgestreckt Er der Gott ergreift die Hand seines Lieblings Diene der Sache Gottes Er der Gott hört die Stimme dessen den er liebt Schlage nicht irgendein heiliges Tier mit einem Stock einem Stein oder irgendeinem Holzstück Hüte dich vor den heiligen Tieren Nähere dich ihnen den heiligen Tieren nicht Nimm den heiligen Tieren nicht das Leben Iß nichts Verabscheutes an seinem des heiligen Tieres Platz der Gott von in um zu veranlassen daß ihm Strafe zuteil wird die Sünde die er tun wird - Sünder tadeln zerstören Sie geben Leben dem der über das nachdenkt was er sagt indem während obwohl er es nicht sagt Ruiniere keine Familie wegen des Sünders Ein Haus das keine Sünder hat hat nicht dh noch nie existiert für die Götter früher bzw am Anfang derdiedas wie der Waage ist die aufgestellt ist Der Verfluchte läßt seinem Bruder und seinem Gefährten nicht Gerechtigkeit widerfahren wie der Himmel dh im Unterschied zum H der in Gerechtigkeit kommt und veranlaßt daß die Opfer der Geringen Rauch machen zusammen mit den Opfern der Großen Gerechtigkeit Er denkt an keinen Gott Er denkt auch an keinen Menschen Eines sind die Pläne des Gottes ein anderes die Pläne des Menschen,Griechisch-römische Zeit
